X: -0.13, Y: 1.88
X: -1.45, Y: 4.12
X: 3.38, Y: 2.82
X: -3.89, Y: 3.9
X: 1.16, Y: -0.69
X: 1.71, Y: 5.53
X: -3.99, Y: 2.33
X: -2.12, Y: 5.8
X: 2.9, Y: 0.5
X: -0.1, Y: 5.66
X: 0.6, Y: 3.57
X: -2.12, Y: 1.8
X: -0.42, Y: 0.08
X: 3.21, Y: 5.33
X: -3.8, Y: 5.91
X: -0.94, Y: 1.48
X: 2.99, Y: 1.54
X: -4.58, Y: 4.29
X: -3.59, Y: 2.27
X: -1.12, Y: 5.75
X: 0.16, Y: -0.66
X: 3.66, Y: 4.5
X: 2.29, Y: 0.07
X: -4.63, Y: 3.22
X: -4.59, Y: 1.88
X: 0.59, Y: 5.61
X: 0.08, Y: 3.96
X: -0.4, Y: 0.41
X: -3.03, Y: 5.88
X: 1.6, Y: 1.87
X: -4.46, Y: 4.77
X: 0.44, Y: 1.53
X: -3.08, Y: 1.71
X: -0.47, Y: -0.61
X: 3.5, Y: 3.57
X: 2.08, Y: 5.45
X: 1.71, Y: -0.39
X: -0.78, Y: 5.69
X: 1.76, Y: 3.89
X: -1.63, Y: 2.07
X: -4.3, Y: 5.61
X: -3.71, Y: 4.36
X: 0.88, Y: -0.69
X: 3.7, Y: 4.97
X: -2.42, Y: 5.79
X: 2.98, Y: 0.82
X: -4.64, Y: 2.79
X: -0.34, Y: 1.04
X: -1.56, Y: 1.71
X: -1.89, Y: 4.11
X: 3.25, Y: 2.16
X: -0.22, Y: 1.44
X: -4.15, Y: 5.88
X: 0.26, Y: 3.52
X: 1.32, Y: 5.58
X: -4.56, Y: 3.63
X: 2.97, Y: 1.15
X: 0.24, Y: 5.6
X: 2.83, Y: 5.37
X: -4.23, Y: 1.83
X: -1.47, Y: 3.74
X: 0.58, Y: 3.92
X: -2.7, Y: 1.68
X: -0.45, Y: 5.67
X: -0.59, Y: 1.44
X: 1.42, Y: -0.47
X: 0.56, Y: -0.66
X: -3.44, Y: 5.96
X: -1.81, Y: 5.74
X: 1.73, Y: 3.34
X: 3.44, Y: 0.26
X: 2.59, Y: 0.28
X: -2.02, Y: 2.12
X: -0.45, Y: -0.29
X: -4.38, Y: 5.25
X: 3.56, Y: 4.0
X: -3.38, Y: 4.26
X: -3.47, Y: 1.81
X: 3.43, Y: 3.16
X: 1.56, Y: 1.33
X: -0.01, Y: 3.6
X: 3.15, Y: -0.06
X: 0.13, Y: 1.41
X: 0.32, Y: 1.9
X: -2.73, Y: 5.82
X: 2.0, Y: -0.17
X: -0.2, Y: -0.69
X: 3.13, Y: 1.87
X: 0.95, Y: 5.59
X: -2.33, Y: 1.62
X: -1.28, Y: 1.55
X: -1.91, Y: 3.72
X: 3.63, Y: 5.3
X: 2.44, Y: 5.39
X: 3.34, Y: 2.46
X: -4.67, Y: 2.4
X: 1.12, Y: -0.4
X: -0.45, Y: 0.73
X: -1.47, Y: 5.78
X: -3.44, Y: 3.92
